iter	Passed	Remaining
607	1098	708
608	1100	706
609	1102	704
610	1104	702
611	1105	700
612	1107	699
613	1108	697
614	1110	695
615	1112	693
616	1113	691
617	1115	689
618	1116	687
619	1118	685
620	1119	683
621	1121	681
622	1122	679
623	1124	677
624	1126	675
625	1128	674
626	1129	672
627	1131	670
628	1134	669
629	1136	667
630	1138	665
631	1140	664
632	1142	662
633	1143	660
634	1145	658
635	1147	656
636	1149	655
637	1151	653
638	1152	651
639	1155	649
640	1156	647
641	1158	646
642	1160	644
643	1162	642
644	1164	641
645	1166	639
646	1168	637
647	1169	635
648	1171	633
649	1172	631
650	1174	629
651	1175	627
652	1177	625
653	1178	623
654	1180	621
655	1182	619
656	1183	618
657	1185	616
658	1187	614
659	1189	612
660	1191	611
661	1194	609
662	1196	607
663	1197	606
664	1199	604
665	1200	602
666	1202	600
667	1203	598
668	1205	596
669	1207	594
670	1208	592
671	1210	590
672	1212	589
673	1214	587
674	1216	585
675	1218	584
676	1220	582
677	1222	580
678	1224	578
679	1226	577
680	1227	575
681	1229	573
682	1230	571
683	1232	569
684	1234	567
685	1235	565
686	1237	563
687	1239	561
688	1241	560
689	1242	558
690	1244	556
691	1246	554
692	1248	553
693	1250	551
694	1253	549
695	1255	548
696	1257	546
697	1258	544
698	1260	542
699	1261	540
700	1263	538
701	1264	536
702	1266	534
703	1267	533
704	1269	531
705	1270	529
706	1272	527
707	1273	525
708	1275	523
709	1277	521
710	1279	520
711	1281	518
712	1282	516
713	1284	514
714	1286	512
715	1288	511
716	1290	509
717	1292	507
718	1294	505
719	1295	503
720	1297	501
721	1298	499
722	1299	497
723	1301	496
724	1303	494
725	1304	492
726	1307	490
727	1309	489
728	1310	487
729	1312	485
730	1315	483
731	1317	482
732	1319	480
733	1320	478
734	1322	476
735	1323	474
736	1325	472
737	1326	471
738	1328	469
739	1329	467
740	1331	465
741	1332	463
742	1334	461
743	1336	459
744	1337	457
745	1339	456
746	1341	454
747	1342	452
748	1344	450
749	1345	448
750	1347	446
751	1349	444
752	1351	443
753	1353	441
754	1355	439
755	1357	438
756	1359	436
757	1360	434
758	1362	432
759	1364	430
760	1365	428
761	1367	427
762	1368	425
763	1370	423
764	1371	421
765	1373	419
766	1374	417
767	1376	415
768	1379	414
769	1380	412
770	1382	410
771	1384	409
772	1386	407
773	1388	405
774	1390	403
775	1392	402
776	1394	400
777	1396	398
778	1397	396
779	1399	394
780	1400	392
781	1402	390
782	1403	388
783	1404	387
784	1406	385
785	1408	383
786	1410	381
787	1412	379
788	1414	378
789	1416	376
790	1418	374
791	1420	373
792	1422	371
793	1424	369
794	1425	367
795	1427	365
796	1429	364
797	1430	362
798	1432	360
799	1433	358
800	1434	356
801	1436	354
802	1438	352
803	1440	351
804	1442	349
805	1444	347
806	1446	345
807	1448	344
808	1450	342
809	1452	340
810	1454	338
811	1455	337
812	1457	335
813	1458	333
814	1460	331
815	1461	329
816	1462	327
817	1464	325
818	1466	323
819	1467	322
820	1469	320
821	1470	318
822	1472	316
823	1474	315
824	1476	313
825	1478	311
826	1480	309
827	1482	307
828	1484	306
829	1486	304
830	1488	302
831	1489	300
832	1491	298
833	1492	297
834	1494	295
835	1495	293
836	1497	291
837	1499	289
838	1501	288
839	1502	286
840	1504	284
841	1507	282
842	1508	281
843	1510	279
844	1513	277
845	1515	275
846	1517	274
847	1518	272
848	1520	270
849	1522	268
850	1524	266
851	1525	265
852	1527	263
853	1529	261
854	1531	259
855	1532	257
856	1534	256
857	1536	254
858	1538	252
859	1540	250
860	1543	249
861	1545	247
862	1547	245
863	1549	243
864	1551	242
865	1553	240
866	1555	238
867	1557	236
868	1559	235
869	1561	233
870	1563	231
871	1565	229
872	1567	228
873	1569	226
874	1572	224
875	1575	222
876	1577	221
877	1579	219
878	1581	217
879	1582	215
880	1584	214
881	1586	212
882	1588	210
883	1590	208
884	1592	206
885	1595	205
886	1597	203
887	1599	201
888	1601	199
889	1603	198
890	1605	196
891	1607	194
892	1609	192
893	1611	191
894	1613	189
895	1614	187
896	1616	185
897	1618	183
898	1620	182
899	1622	180
900	1624	178
901	1626	176
902	1630	175
903	1632	173
904	1634	171
905	1636	169
906	1638	167
907	1639	166
908	1641	164
909	1642	162
910	1644	160
911	1645	158
912	1647	157
913	1649	155
914	1651	153
915	1652	151
916	1654	149
917	1656	147
918	1658	146
919	1659	144
920	1662	142
921	1664	140
922	1666	139
923	1668	137
924	1670	135
925	1672	133
926	1673	131
927	1675	129
928	1676	128
929	1678	126
930	1679	124
931	1681	122
932	1682	120
933	1684	119
934	1686	117
935	1688	115
936	1690	113
937	1692	111
938	1694	110
939	1696	108
940	1699	106
941	1700	104
942	1702	102
943	1704	101
944	1706	99
945	1708	97
946	1709	95
947	1711	93
948	1712	92
949	1714	90
950	1716	88
951	1717	86
952	1719	84
953	1720	82
954	1722	81
955	1724	79
956	1733	77
957	1735	76
958	1737	74
959	1739	72
960	1741	70
961	1743	68
962	1745	67
963	1747	65
964	1748	63
965	1750	61
966	1752	59
967	1754	57
968	1755	56
969	1757	54
970	1759	52
971	1761	50
972	1763	48
973	1765	47
974	1768	45
975	1770	43
976	1772	41
977	1774	39
978	1775	38
979	1777	36
980	1779	34
981	1781	32
982	1783	30
983	1785	29
984	1787	27
985	1789	25
986	1791	23
987	1793	21
988	1795	19
989	1797	18
990	1800	16
991	1802	14
992	1803	12
993	1805	10
994	1807	9
995	1808	7
996	1810	5
997	1812	3
998	1813	1
999	1815	0
