iter	Logloss
0	0.6907816178
1	0.6878932073
2	0.6851566999
3	0.6821219126
4	0.6798955477
5	0.6778361003
6	0.6760428991
7	0.6740261469
8	0.671798217
9	0.6686870379
10	0.6663809556
11	0.6646978916
12	0.6618483128
13	0.6597554623
14	0.6577365582
15	0.6561062153
16	0.6537128351
17	0.6512054541
18	0.6484612685
19	0.6457837423
20	0.6434117831
21	0.641040802
22	0.6392709781
23	0.6368186168
24	0.6354231223
25	0.6335683969
26	0.6309620784
27	0.6285973084
28	0.6256269797
29	0.6234311813
30	0.6211263706
31	0.6191135798
32	0.6171092498
33	0.6143517127
34	0.6120554606
35	0.6102561951
36	0.6080936041
37	0.6053283398
38	0.6041991405
39	0.6024246216
40	0.6003812154
41	0.5983489599
42	0.5964196523
43	0.5949134338
44	0.5930859492
45	0.5914702782
46	0.589508399
47	0.587599143
48	0.5858032031
49	0.5838880783
50	0.5814224634
51	0.5792953296
52	0.5774698502
53	0.5755499815
54	0.5734606034
55	0.571791331
56	0.5697475336
57	0.5677246681
58	0.5660381317
59	0.5643259684
60	0.5625465589
61	0.5607877389
62	0.5589731657
63	0.5569710365
64	0.5543448619
65	0.5521972852
66	0.5499709692
67	0.5482276036
68	0.5470565894
69	0.5456067599
70	0.5450367072
71	0.5430265573
72	0.5422934997
73	0.5410447732
74	0.5392779815
75	0.5378751999
76	0.5366781675
77	0.5350615184
78	0.5333955716
79	0.5318937057
80	0.530462803
81	0.5291378804
82	0.5273031577
83	0.525835184
84	0.5243598253
85	0.523500687
86	0.5221978212
87	0.5207507305
88	0.5199398628
89	0.5185579642
90	0.5170618693
91	0.5155288501
92	0.5138950837
93	0.5125686939
94	0.5117446704
95	0.5096571507
96	0.5084972871
97	0.5072324704
98	0.5056548974
99	0.5051742945
100	0.5037476955
101	0.5026143392
102	0.5011586898
103	0.5001213856
104	0.4992162753
105	0.4979745914
106	0.4967831832
107	0.495582336
108	0.4944815024
109	0.4934821496
110	0.4920791235
111	0.4912230174
112	0.4902238112
113	0.4891684606
114	0.4881267548
115	0.4871577238
116	0.4858112824
117	0.485139211
118	0.4841177525
119	0.4827400599
120	0.4816137461
121	0.4802537087
122	0.4789813604
123	0.4779978043
124	0.4767352373
125	0.4755409436
126	0.4743379446
127	0.4740514511
128	0.4731894273
129	0.472334984
130	0.471117362
131	0.4696907141
132	0.4687726926
133	0.4678705656
134	0.4665347368
135	0.4652910477
136	0.4643410903
137	0.4640106788
138	0.4630341652
139	0.4623553447
140	0.4612596463
141	0.4604559678
142	0.4596279829
143	0.4583484943
144	0.4575909346
145	0.4564615885
146	0.4553271563
147	0.4544738867
148	0.4542200137
149	0.4528043698
150	0.4519925729
151	0.4509837811
152	0.4496645805
153	0.4488899524
154	0.4479934986
155	0.4467071142
156	0.445578893
157	0.444342442
158	0.4441206027
159	0.4434619806
160	0.4426720448
161	0.4416723007
162	0.4405361078
163	0.4396012135
164	0.4385526119
165	0.437937223
166	0.436953618
167	0.4360529093
168	0.4351382622
169	0.4344677069
170	0.4337869302
171	0.4330457052
172	0.4322149815
173	0.4311602666
174	0.4303756616
175	0.4296900431
176	0.428583732
177	0.4273375976
178	0.426407545
179	0.4256972778
180	0.4249539987
181	0.4238226475
182	0.4226973118
183	0.4217427572
184	0.4212138347
185	0.4207318624
186	0.4198256273
187	0.4190047827
188	0.4181121435
189	0.4176311004
190	0.4172568199
191	0.4161267403
192	0.4155881833
193	0.4145116072
194	0.4137179057
195	0.4126539475
196	0.4120473617
197	0.4113371433
198	0.4109164507
199	0.4102512017
200	0.408987192
201	0.4079344823
202	0.4073695158
203	0.4068875435
204	0.4062603926
205	0.405581132
206	0.4050454849
207	0.4043483734
208	0.4036530715
209	0.40301186
210	0.4022352023
211	0.4016599166
212	0.4010165777
213	0.4002202352
214	0.3995109216
215	0.3988171113
216	0.3981246704
217	0.3973935201
218	0.3965823345
219	0.3959087959
220	0.3948935729
221	0.3943068431
222	0.3937032162
223	0.3924885774
224	0.3919560604
225	0.3914601008
226	0.3906625112
227	0.3898867583
228	0.3894352546
229	0.3886673267
230	0.3879875281
231	0.387540695
232	0.3871305172
233	0.3869299766
234	0.3860453581
235	0.3856572371
236	0.3848472497
237	0.3842742382
238	0.3839683533
239	0.3834264217
240	0.3825274247
241	0.3814743482
242	0.380608094
243	0.3801417229
244	0.3796532949
245	0.3792336293
246	0.3782548171
247	0.3776328258
248	0.3770688864
249	0.3765744918
250	0.3760484793
251	0.3753210459
252	0.3744769463
253	0.3737424459
254	0.3730054758
255	0.3722186944
256	0.3715430773
257	0.3707289573
258	0.3701076997
259	0.3694803287
260	0.3688858472
261	0.3683637472
262	0.3674791776
263	0.3665712308
264	0.3657183769
265	0.3650399233
266	0.3644694548
267	0.3644052652
268	0.3632053962
269	0.3631232335
270	0.3624288119
271	0.3617249024
272	0.3609983493
273	0.3606335078
274	0.3602754642
275	0.3597716062
276	0.3593578828
277	0.3584223772
278	0.3579297922
279	0.3573786662
280	0.3568441929
281	0.3565688256
282	0.3561030168
283	0.355623392
284	0.3553439409
285	0.3549608573
286	0.3542697613
287	0.3540446942
288	0.3532696259
289	0.3529482132
290	0.3524284363
291	0.352277609
292	0.3517188537
293	0.3512219649
294	0.3506677579
295	0.3501224762
296	0.3495113666
297	0.3485903129
298	0.3482639606
299	0.3479451889
300	0.3473176223
301	0.3467775981
302	0.3463248717
303	0.3457645025
304	0.3454807966
305	0.3448159878
306	0.344207348
307	0.3438162681
308	0.3433371568
309	0.3428487044
310	0.3423680036
311	0.3417662107
312	0.3413298925
313	0.3410601005
314	0.3406542509
315	0.3398792316
316	0.339372048
317	0.338745753
318	0.3384005718
319	0.3378312038
320	0.3374940677
321	0.3367308592
322	0.3360562447
323	0.3359995133
324	0.3358274362
325	0.3355207443
326	0.3351684472
327	0.3342717244
328	0.3335602345
329	0.3331956619
330	0.3322825799
331	0.3316813738
332	0.330931688
333	0.3302359948
334	0.3298189212
335	0.3292318491
336	0.32848857
337	0.3280398295
338	0.3274897062
339	0.3269727169
340	0.3262253052
341	0.325846452
342	0.3254326796
343	0.3251411487
344	0.3246269226
345	0.324028602
346	0.32381158
347	0.3233026113
348	0.3227398212
349	0.3220969714
350	0.3216428023
351	0.3211977788
352	0.3206210503
353	0.3202363039
354	0.3196162199
355	0.3188892756
356	0.3182076185
357	0.317818226
358	0.3173463773
359	0.3172384898
360	0.3168733059
361	0.3165300809
362	0.3158394496
363	0.3154396644
364	0.3148189447
365	0.3145573689
366	0.3141780266
367	0.313663287
368	0.3131536093
369	0.3125765385
370	0.3119744032
371	0.311605698
372	0.3112270404
373	0.3106740805
374	0.310178072
375	0.3097028977
376	0.3093739045
377	0.3090021671
378	0.3085525708
379	0.3079319978
380	0.3074441078
381	0.3068078359
382	0.3062549738
383	0.3061011388
384	0.3059076652
385	0.3056537922
386	0.3051532843
387	0.304678599
388	0.3042188791
389	0.3038322253
390	0.3032709268
391	0.3028722421
392	0.3023916636
393	0.3020771711
394	0.3015022278
395	0.3010422389
396	0.3006461461
397	0.3001191555
398	0.2996024596
399	0.299316553
400	0.2992208921
401	0.2989489727
402	0.2985884593
403	0.298198651
404	0.297805346
405	0.297582284
406	0.2968963232
407	0.2964378504
408	0.2958515363
409	0.2954372015
410	0.2947300153
411	0.2942389708
412	0.293987861
413	0.2937244024
414	0.2932030115
415	0.292657681
416	0.292268264
417	0.2916004474
418	0.2910731878
419	0.2906265748
420	0.2902265206
421	0.289928852
422	0.2897469203
423	0.289217142
424	0.2887812394
425	0.2883784465
426	0.2880213322
427	0.2876232343
428	0.2871719752
429	0.2869194471
430	0.2865939752
431	0.2860671801
432	0.2856651453
433	0.2853127015
434	0.2848720061
435	0.2844825402
436	0.2841178209
437	0.283782421
438	0.2834443801
439	0.283156126
440	0.2828193567
441	0.2823833563
442	0.2818676142
443	0.2815964283
444	0.2814080654
445	0.28100136
446	0.2807288048
447	0.2804495494
448	0.2799053437
449	0.2796999858
450	0.2794062541
451	0.2792296287
452	0.278860679
453	0.2784402554
454	0.2778531588
455	0.2772623698
456	0.2767295104
457	0.2763517331
458	0.2758844816
459	0.2755273672
460	0.2751617432
461	0.2746579341
462	0.2744013957
463	0.274202787
464	0.2737003229
465	0.2736860177
466	0.2735155057
467	0.2732315553
468	0.2727647928
469	0.2725237577
470	0.272044353
471	0.2716207504
472	0.2712584275
473	0.270731657
474	0.2705528797
475	0.2700763605
476	0.2695974203
477	0.2689974858
478	0.268888229
479	0.2684891041
480	0.2681492781
481	0.2676659853
482	0.2672940768
483	0.2670739003
484	0.2667594078
485	0.2666109281
486	0.2663748815
487	0.2658317762
488	0.2654183706
489	0.2650547272
490	0.2648113691
491	0.2644159366
492	0.2644057885
493	0.2639227158
494	0.2635629605
495	0.2633103102
496	0.2628421294
497	0.2623623579
498	0.2619228363
499	0.2616669092
500	0.2613588969
501	0.260856066
502	0.2607533871
503	0.2603032528
504	0.2602361043
505	0.2598566398
506	0.2593717086
507	0.2587469052
508	0.2583442346
509	0.2577817868
510	0.2575154427
511	0.2570062295
512	0.2566966766
513	0.2564915144
514	0.2560669337
515	0.2558571253
516	0.2554357724
517	0.2552568974
518	0.2551539005
519	0.2549247986
520	0.2545080674
521	0.2543917191
522	0.2538228157
523	0.2535337301
524	0.2530658918
525	0.2530569663
526	0.2526506522
527	0.252293978
528	0.2521533966
529	0.2520353366
530	0.2517855718
531	0.2513213035
532	0.2510458873
533	0.2504797715
534	0.2501136829
535	0.24963956
536	0.2491067984
537	0.248761446
538	0.2485084778
539	0.2483032422
540	0.2478806911
541	0.2473238431
542	0.2468610421
543	0.246462553
544	0.2460403442
545	0.2459402573
546	0.2456288949
547	0.245564094
548	0.2453036431
549	0.2448119628
550	0.244546499
551	0.2440529603
552	0.2436153216
553	0.2432833207
554	0.2430316974
555	0.2426456305
556	0.2423265897
557	0.2419835849
558	0.2416912226
559	0.2415311275
560	0.2411857507
561	0.2408816998
562	0.240541018
563	0.2401295686
564	0.2397347964
565	0.2394864009
566	0.2389793641
567	0.238689716
568	0.2386703736
569	0.23862917
570	0.2382075236
571	0.2379382696
572	0.2375999597
573	0.2373655759
574	0.236885731
575	0.2366659702
576	0.2363812862
577	0.2359157954
578	0.2358536109
579	0.2358308939
580	0.2354313043
581	0.235325691
582	0.235021958
583	0.2348361627
584	0.2346559671
585	0.234370305
586	0.2339878327
587	0.2337390704
588	0.233631941
589	0.2332026164
590	0.232942141
591	0.2327878414
592	0.2324509987
593	0.2322747646
594	0.2320367373
595	0.2315677741
596	0.2310608839
597	0.2306344448
